n_samples,Distribution,Algorithm,Accuracy,Precision,Recall,F1 Score,Time
3000,circles,IQR,0.9826666666666667,1.0,0.6533333333333333,0.7903225806451613,0.0457
3500,normal,KMeans,0.9771428571428571,0.7714285714285715,0.7714285714285715,0.7714285714285715,2.2808
3500,normal,DBSCAN,0.9768571428571429,0.7303921568627451,0.8514285714285714,0.7862796833773087,0.0291
3500,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2403
3500,normal,Z-Score,0.9748571428571429,0.7023255813953488,0.8628571428571429,0.7743589743589744,0.0011
3500,normal,IQR,0.9294285714285714,0.40816326530612246,0.9142857142857143,0.564373897707231,0.0611
3500,blobs,KMeans,0.9914285714285714,0.9142857142857143,0.9142857142857143,0.9142857142857143,2.1051
3500,blobs,DBSCAN,0.956,1.0,0.12,0.21428571428571427,0.0668
3500,blobs,Isolation Forest,0.992,0.92,0.92,0.92,0.2722
3500,blobs,Z-Score,0.98,1.0,0.6,0.75,0.0012
3500,blobs,IQR,0.9502857142857143,1.0,0.005714285714285714,0.011363636363636364,0.0550
3500,moons,KMeans,0.9702857142857143,0.7028571428571428,0.7028571428571428,0.7028571428571428,2.1251
3500,moons,DBSCAN,0.9945714285714286,0.9534883720930233,0.9371428571428572,0.9452449567723343,0.0233
3500,moons,Isolation Forest,0.9805714285714285,0.8057142857142857,0.8057142857142857,0.8057142857142857,0.2585
3500,moons,Z-Score,0.9788571428571429,1.0,0.5771428571428572,0.7318840579710145,0.0010
3500,moons,IQR,0.9774285714285714,1.0,0.5485714285714286,0.7084870848708487,0.0568
3500,circles,KMeans,0.9702857142857143,0.7028571428571428,0.7028571428571428,0.7028571428571428,2.1461
3500,circles,DBSCAN,0.9602857142857143,1.0,0.2057142857142857,0.3412322274881517,0.0457
3500,circles,Isolation Forest,0.9817142857142858,0.8171428571428572,0.8171428571428572,0.8171428571428572,0.2498
3500,circles,Z-Score,0.9848571428571429,0.9919354838709677,0.7028571428571428,0.822742474916388,0.0010
3500,circles,IQR,0.9808571428571429,0.8333333333333334,0.7714285714285715,0.8011869436201781,0.0554
4000,normal,KMeans,0.9725,0.725,0.725,0.725,2.5915
4000,normal,DBSCAN,0.983,0.8203883495145631,0.845,0.8325123152709359,0.0376
4000,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2947
4000,normal,Z-Score,0.98,0.7857142857142857,0.825,0.8048780487804879,0.0015
4000,normal,IQR,0.94175,0.4578005115089514,0.895,0.6057529610829103,0.0673
4000,blobs,KMeans,0.9915,0.915,0.915,0.915,2.5542
4000,blobs,DBSCAN,0.995,0.9245283018867925,0.98,0.9514563106796117,0.0324
4000,blobs,Isolation Forest,0.992,0.92,0.92,0.92,0.2506
4000,blobs,Z-Score,0.978,1.0,0.56,0.717948717948718,0.0010
4000,blobs,IQR,0.95425,1.0,0.085,0.15668202764976957,0.0628
4000,moons,KMeans,0.9725,0.725,0.725,0.725,2.6028
4000,moons,DBSCAN,0.98675,0.9298245614035088,0.795,0.8571428571428571,0.0283
4000,moons,Isolation Forest,0.975,0.75,0.75,0.75,0.2510
4000,moons,Z-Score,0.98425,1.0,0.685,0.8130563798219584,0.0010
4000,moons,IQR,0.97975,1.0,0.595,0.7460815047021944,0.0619
4000,circles,KMeans,0.9675,0.675,0.675,0.675,2.5429
4000,circles,DBSCAN,0.99375,0.972972972972973,0.9,0.935064935064935,0.0281
4000,circles,Isolation Forest,0.9805,0.805,0.805,0.805,0.2535
4000,circles,Z-Score,0.98475,1.0,0.695,0.8200589970501475,0.0010
4000,circles,IQR,0.95325,0.5217391304347826,0.78,0.625250501002004,0.0628
4500,normal,KMeans,0.968,0.68,0.68,0.68,3.1142
4500,normal,DBSCAN,0.9746666666666667,0.6933797909407665,0.8844444444444445,0.77734375,0.0366
4500,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2726
4500,normal,Z-Score,0.9815555555555555,0.7983193277310925,0.8444444444444444,0.8207343412526998,0.0010
4500,normal,IQR,0.93,0.4089068825910931,0.8977777777777778,0.5618915159944368,0.0726
4500,blobs,KMeans,0.9755555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555,3.0249
4500,blobs,DBSCAN,0.9888888888888889,0.9834254143646409,0.7911111111111111,0.8768472906403941,0.0560
4500,blobs,Isolation Forest,0.98,0.8,0.8,0.8,0.2667
4500,blobs,Z-Score,0.9802222222222222,0.8655913978494624,0.7155555555555555,0.7834549878345499,0.0010
4500,blobs,IQR,0.8655555555555555,0.22622478386167147,0.6977777777777778,0.3416757344940152,0.0735
4500,moons,KMeans,0.9768888888888889,0.7688888888888888,0.7688888888888888,0.7688888888888888,3.0567
4500,moons,DBSCAN,0.994,0.9714285714285714,0.9066666666666666,0.9379310344827586,0.0333
4500,moons,Isolation Forest,0.9822222222222222,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.2695
4500,moons,Z-Score,0.9831111111111112,1.0,0.6622222222222223,0.7967914438502673,0.0015
4500,moons,IQR,0.9804444444444445,1.0,0.6088888888888889,0.7569060773480663,0.0715
4500,circles,KMeans,0.9711111111111111,0.7111111111111111,0.7111111111111111,0.7111111111111111,2.9912
4500,circles,DBSCAN,0.9971111111111111,0.9953271028037384,0.9466666666666667,0.9703872437357631,0.0323
4500,circles,Isolation Forest,0.9826666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.2686
4500,circles,Z-Score,0.9862222222222222,1.0,0.7244444444444444,0.8402061855670103,0.0010
4500,circles,IQR,0.9182222222222223,0.358974358974359,0.8088888888888889,0.4972677595628415,0.0727
5000,normal,KMeans,0.9732,0.732,0.732,0.732,3.7011
5000,normal,DBSCAN,0.9756,0.693939393939394,0.916,0.7896551724137931,0.0440
5000,normal,Isolation Forest,0.9872,0.872,0.872,0.872,0.2749
5000,normal,Z-Score,0.9846,0.8145454545454546,0.896,0.8533333333333334,0.0010
5000,normal,IQR,0.9274,0.40341880341880343,0.944,0.5652694610778443,0.0798
5000,blobs,KMeans,0.9852,0.852,0.852,0.852,3.6178
5000,blobs,DBSCAN,0.9526,1.0,0.052,0.09885931558935361,0.1263
5000,blobs,Isolation Forest,0.9876,0.876,0.876,0.876,0.2867
5000,blobs,Z-Score,0.9836,0.9285714285714286,0.728,0.8161434977578476,0.0012
